scientificName
Wallenia yunquensis
Wedelia mexicana
Wedelia modesta
Wedelia oligocephala
Wedelia ovalifolia
Wedelia oxylepis
Wedelia pallida
Wedelia pascalioides
Wedelia pascalioides
Wedelia penninervia
Wedelia pertenuis
Wedelia phyllostachya
Wedelia pimana
Wedelia puberula
Wedelia purpurea
Wedelia ramagii
Wedelia reflexa
Wedelia regis
Wedelia reticulata
Wedelia rosei
Wedelia rudis
Wedelia rugosa
Wedelia saltensis
Wedelia serrata
Wedelia simsioides
Wedelia souzae
Wedelia strigosa
Wedelia stuebelii
Wedelia subalpestris
Wedelia subvelutina
Wedelia symmetrica
Wedelia talpana
Wedelia tambilloana
Wedelia tehuantepecana
Wedelia trichostephia
Wedelia triloba
Wedelia urbani
Wedelia urticaefolia
Wedelia urticifolia
Wedelia vauthieri
Wedelia veadeirosensis
Wedelia vexata
Wedelia villosa
Wedelia warmingii
Wedelia xylopoda
Wedelia zuliana
Weigela coraeensis
Weigela decora
Weigela florida
Weigela fujisanensis
Weigela japonica
Weigela maximowiczii
Weigela middendorffiana
Weigela sanguinea
Weigela suavis
Weigela subsessilis
Weingartia arenacea
Weingartia azurduyensis
Weingartia breviflora
Weingartia canigueralii
Weingartia cardenasiana
Weingartia cintia
Weingartia crispata
Weingartia cylindrica
Weingartia dorana
Weingartia fidana
Weingartia frey-juckeri
Weingartia juckeri
Weingartia kruegerae
Weingartia mentosa
Weingartia neocumingii
Weingartia pulquinensis
Weingartia purpurea
Weingartia sapi
Weingartia tarijensis
Weingartia tiraquensis
Weingartia vasqueziana
Weingartia westii
Weinmannia affinis
Weinmannia aggregata
Weinmannia anisophylla
Weinmannia aphanoneura
Weinmannia apurimacensis
Weinmannia arguta
Weinmannia auriculata
Weinmannia auriformis
Weinmannia baccariniana
Weinmannia baehniana
Weinmannia balbisiana
Weinmannia bangii
Weinmannia blumei
Weinmannia bojeriana
Weinmannia boliviensis
Weinmannia brachystachya
Weinmannia bradfordii
Weinmannia burserifolia
Weinmannia celebica
Weinmannia chryseis
Weinmannia cinerea
Weinmannia clemensiae
Weinmannia cochensis
Weinmannia cogolloi
Weinmannia commersonii
Weinmannia comorensis
Weinmannia condorensis
Weinmannia coodei
Weinmannia corocoroensis
Weinmannia costulata
Weinmannia crassifolia
Weinmannia croftii
Weinmannia cundinamarcensis
Weinmannia cymbifolia
Weinmannia davidsonii
Weinmannia decora
Weinmannia denhamii
Weinmannia descendens
Weinmannia descombesiana
Weinmannia devogelii
Weinmannia dichotoma
Weinmannia discolor
Weinmannia dzieduszyckii
Weinmannia elliptica
Weinmannia eriocarpa
Weinmannia exigua
Weinmannia eymana
Weinmannia fagaroides
Weinmannia fraxinea
Weinmannia furfuracea
Weinmannia geometrica
Weinmannia glabra
Weinmannia glomerata
Weinmannia guyanensis
Weinmannia haenkeana
Weinmannia henricorum
Weinmannia hepaticarum
Weinmannia heterophylla
Weinmannia hildebrandtii
Weinmannia hooglandii
Weinmannia horrida
Weinmannia humbertiana
Weinmannia humblotii
Weinmannia humilis
Weinmannia hutchinsonii
Weinmannia ibaguensis
Weinmannia icacifolia
Weinmannia ilutepuiensis
Weinmannia integrifolia
Weinmannia intermedia
Weinmannia jahnii
Weinmannia jelskii
Weinmannia jelskii
Weinmannia karsteniana
Weinmannia kunthiana
Weinmannia lansbergiana
Weinmannia latifolia
Weinmannia laurina
Weinmannia laxiramea
Weinmannia lechleriana
Weinmannia lentiscifolia
Weinmannia lopezana
Weinmannia louveliana
Weinmannia lowryana
Weinmannia loxensis
Weinmannia lucens
Weinmannia lucida
Weinmannia luzoniensis
Weinmannia lyrata
Weinmannia macgillivrayi
Weinmannia macrophylla
Weinmannia madagascariensis
Weinmannia magnifica
Weinmannia magnifolia
Weinmannia mammea
Weinmannia mariquitae
Weinmannia marojejyensis
Weinmannia marquesana
Weinmannia mauritiana
Weinmannia microphylla
Weinmannia minutiflora
Weinmannia multijuga
Weinmannia negrosensis
Weinmannia organensis
Weinmannia ouaiemensis
Weinmannia ovata
Weinmannia paitensis
Weinmannia parviflora
Weinmannia parvifoliolata
Weinmannia pauciflora
Weinmannia paulliniifolia
Weinmannia pentaphylla
Weinmannia pinnata
Weinmannia piurensis
Weinmannia polyphylla
Weinmannia portlandiana
Weinmannia pubescens
Weinmannia purpurea
Weinmannia racemosa
Weinmannia raiateensis
Weinmannia rakotomalazana
Weinmannia rapensis
Weinmannia reticulata
Weinmannia rhodoxylon
Weinmannia rhoifolia
Weinmannia richii
Weinmannia rollottii
Weinmannia rutenbergii
Weinmannia samoensis
Weinmannia sanguisugarum
Weinmannia serrata
Weinmannia sorbifolia
Weinmannia spiraeoides
Weinmannia spruceana
Weinmannia stenocarpa
Weinmannia stenostachya
Weinmannia subsessiliflora
Weinmannia sylvicola
Weinmannia ternata
Weinmannia testudineata
Weinmannia tinctoria
Weinmannia tolimensis
Weinmannia tomentosa
Weinmannia tremuloides
Weinmannia trianaea
Weinmannia trichosperma
Weinmannia ulei
Weinmannia urdanetensis
Weinmannia vegasana
Weinmannia velutina
Weinmannia venosa
Weinmannia venusta
Weinmannia vescoi
Weinmannia vitiensis
Weinmannia vulcanicola
Weinmannia wercklei
Weinmannia ysabelensis
Weinmannia yungasensis
Welchiodendron longivalve
Weldenia candida
Welfia alfredii
Welfia regia
Wellstedia dinteri
Wellstedia filtuensis
Wellstedia laciniata
Wellstedia robusta
Wellstedia socotrana
Wellstedia somalensis
Welwitschiella neriifolia
Wenchengia alternifolia
Wendia brevivittata
Wendia hymenocoleon
Wendia incana
Wendia pastinacifolia
Wendia schelkovnikovii
Wendia schelkovnikowii
Wendlandia aberrans
Wendlandia acuminata
Wendlandia amocana
Wendlandia andamanica
Wendlandia angustifolia
Wendlandia appendiculata
Wendlandia arabica
Wendlandia arborescens
Wendlandia augustinii
Wendlandia basistaminea
Wendlandia bicuspidata
Wendlandia bouvardioides
Wendlandia brachyantha
Wendlandia brevipaniculata
Wendlandia brevituba
Wendlandia buddlejacea
Wendlandia buddlejoides
Wendlandia budleioides
Wendlandia burkillii
Wendlandia cambodiana
Wendlandia cavaleriei
Wendlandia connata
Wendlandia coriacea
Wendlandia dasythyrsa
Wendlandia densiflora
Wendlandia erythroxylon
Wendlandia ferruginea
Wendlandia formosana
Wendlandia fulva
Wendlandia gamblei
Wendlandia glabrata
Wendlandia glomerulata
Wendlandia guangdongensis
Wendlandia heyneana
Wendlandia heynei
Wendlandia inclusa
Wendlandia jingdongensis
Wendlandia junghuhniana
Wendlandia lauterbachii
Wendlandia laxa
Wendlandia ligustrina
Wendlandia ligustroides
Wendlandia litseifolia
Wendlandia longidens
Wendlandia longipedicellata
Wendlandia luzoniensis
Wendlandia merrilliana
Wendlandia myriantha
Wendlandia nervosa
Wendlandia nitens
Wendlandia nobilis
Wendlandia oligantha
Wendlandia ovata
Wendlandia paedicalyx
Wendlandia paniculata
Wendlandia parviflora
Wendlandia pendula
Wendlandia philippinensis
Wendlandia pingpienensis
Wendlandia proxima
Wendlandia psychotrioides
Wendlandia puberula
Wendlandia pubigera
Wendlandia salicifolia
Wendlandia scabra
Wendlandia sericea
Wendlandia sibuyanensis
Wendlandia sikkimensis
Wendlandia speciosa
Wendlandia subalpina
Wendlandia syringoides
Wendlandia ternifolia
Wendlandia teysmanniana
Wendlandia thorelii
Wendlandia thyrsoidea
Wendlandia tinctoria
Wendlandia tombuyukonensis
Wendlandia tonkiniana
Wendlandia urceolata
Wendlandia uvariifolia
Wendlandia villosa
Wendlandia wallichii
Wendlandia warburgii
Wendlandiella gracilis
Wenzelia archboldiana
Wenzelia brevipes
Wenzelia dolichophylla
Wenzelia grandiflora
Wenzelia kambarae
Wenzelia melanesica
Wenzelia platysperma
Wenzelia tenuifolia
Werauhia acuminata
Werauhia ampla
Werauhia anitana
Werauhia apiculata
Werauhia attenuata
Werauhia balanophora
Werauhia barii
Werauhia bicolor
Werauhia boliviana
Werauhia bracteosa
Werauhia broadwayi
Werauhia brunei
Werauhia burgeri
Werauhia camptoclada
Werauhia capitata
Werauhia comata
Werauhia cowellii
Werauhia dalstroemii
Werauhia diantha
Werauhia dodsonii
Werauhia dressleri
Werauhia gibba
Werauhia gigantea
Werauhia gladioliflora
Werauhia graminifolia
Werauhia guadelupensis
Werauhia haberi
Werauhia hainesiorum
Werauhia haltonii
Werauhia haplostachya
Werauhia hygrometrica
Werauhia hylaeana
Werauhia insignis
Werauhia jenii
Werauhia kathyae
Werauhia kupperiana
Werauhia latissima
Werauhia laxa
Werauhia leucophylla
Werauhia luctuosa
Werauhia luis-gomezii
Werauhia lutheri
Werauhia lyman-smithii
Werauhia macrantha
Werauhia macrochlamys
Werauhia maculata
Werauhia marnier-lapostollei
Werauhia millennia
Werauhia montana
Werauhia moralesii
Werauhia noctiflorens
Werauhia nocturna
Werauhia notata
Werauhia nutans
Werauhia ochracea
Werauhia orjuelae
Werauhia ororiensis
Werauhia osaensis
Werauhia panamaensis
Werauhia paniculata
Werauhia patzeltii
Werauhia paupera
Werauhia pectinata
Werauhia pedicellata
Werauhia picta
Werauhia pittieri
Werauhia proctorii
Werauhia pycnantha
Werauhia rauhii
Werauhia ringens
Werauhia rubra
Werauhia rugosa
Werauhia sanguinolenta
Werauhia singuliflora
Werauhia sintenisii
Werauhia stenophylla
Werauhia subsecunda
Werauhia talamancana
Werauhia tarmaensis
Werauhia tiquirensis
Werauhia tonduziana
Werauhia umbrosa
Werauhia urbaniana
Werauhia uxoris
Werauhia vanhyningii
Werauhia verrucosa
Werauhia vietoris
Werauhia viridiflora
Werauhia viridis
Werauhia vittata
Werauhia vulcanicola
Werauhia werckleana
Werauhia williamsii
Werauhia woodsoniana
Wercklea cocleana
Wercklea ferox
Wercklea flavovirens
Wercklea grandiflora
Wercklea horrida
Wercklea hottensis
Wercklea insignis
Wercklea intermedia
Wercklea lutea
Wercklea magnibracteata
Wercklea pseudoferox
Wercklea tulipiflora
Wercklea woodsonii
Werneria apiculata
Werneria aretioides
Werneria caespitosa
Werneria carnulosa
Werneria cochlearis
Werneria glaberrima
Werneria graminifolia
Werneria heteroloba
Werneria macbridei
Werneria melanandra
Werneria nubigena
Werneria obtusiloba
Werneria orbignyana
Werneria pectinata
Werneria pumila
Werneria pygmaea
Werneria solivifolia
Werneria spathulata
Werneria staticifolia
Werneria villosa
Werneria weberbaueriana
Westoniella barqueroana
Westoniella chirripoensis
Westoniella eriocephala
Westoniella kohkemperi
Westoniella lanuginosa
Westoniella triunguifolia
Westringia acifolia
Westringia amabilis
Westringia angustifolia
Westringia blakeana
Westringia brevifolia
Westringia capitonia
Westringia cephalantha
Westringia cheelii
Westringia crassifolia
Westringia cremnophila
Westringia dampieri
Westringia davidii
Westringia discipulorum
Westringia eremicola
Westringia fitzgeraldensis
Westringia fruticosa
Westringia glabra
Westringia grandifolia
Westringia kydrensis
Westringia longifolia
Westringia lucida
Westringia lurida
Westringia ophioglossa
Westringia parvifolia
Westringia rigida
Westringia rubiifolia
Westringia rupicola
Westringia saxatilis
Westringia senifolia
Westringia sericea
Westringia tenuicaulis
Westringia viminalis
Wetria australiensis
Wetria insignis
Wettinia aequalis
Wettinia aequatorialis
Wettinia anomala
Wettinia augusta
Wettinia castanea
Wettinia disticha
Wettinia donosoensis
Wettinia drudei
Wettinia fascicularis
Wettinia hirsuta
Wettinia kalbreyeri
Wettinia lanata
Wettinia longipetala
Wettinia maynensis
Wettinia microcarpa
Wettinia minima
Wettinia oxycarpa
Wettinia panamensis
Wettinia praemorsa
Wettinia quinaria
Wettinia radiata
Wettinia verruculosa
Wettsteiniola accorsii
Wettsteiniola apipensis
Wettsteiniola pinnata
Whipplea modesta
White-sloanea crassa
Whiteheadia bifolia
Whiteochloa airoides
Whiteochloa biciliata
Whiteochloa capillipes
Whiteochloa cymbiformis
Whiteochloa multiciliata
Whiteochloa semitonsa
Whiteodendron moultonianum
Whitfieldia brazzae
Whitfieldia colorata
Whitfieldia elongata
Whitfieldia lateritia
Whitfieldia latiflos
Whitfieldia laurentii
Whitfieldia liebrechtsiana
Whitfieldia orientalis
Whitfieldia preussii
Whitfieldia purpurata
Whitfieldia rutilans
Whitfieldia stuhlmannii
Whitfieldia thollonii
Whitfordiodendron erianthum
Whitfordiodendron nieuwenhuisii
Whitfordiodendron scandens
Whitfordiodendron sumatranum
Whitmorea grandiflora
Whittonia guianensis
Whyanbeelia terrae-reginae
Whytockia bijieensis
Whytockia chiritiflora
Whytockia gongshanensis
Whytockia hekouensis
Whytockia purpurascens
Whytockia sasakii
Whytockia tsiangiana
Whytockia wilsonii
Wiborgia fusca
Wiborgia incurvata
Wiborgia leptoptera
Wiborgia monoptera
Wiborgia mucronata
Wiborgia obcordata
Wiborgia sericea
Wiborgia tenuifolia
Wiborgia tetraptera
Wiborgiella argentea
Wiborgiella bowieana
Wiborgiella dahlgrenii
Wiborgiella fasciculata
Wiborgiella humilis
Wiborgiella inflata
Wiborgiella leipoldtiana
Wiborgiella mucronata
Wiborgiella sessilifolia
Wiborgiella vlokii
Widjajachloa producta
Wielandia bemarensis
Wielandia bojeriana
Wielandia danguyana
Wielandia elegans
Wielandia fadenii
Wielandia laureola
Wielandia leandriana
Wielandia mimosoides
Wielandia oblongifolia
Wielandia platyrachis
Wielandia ranavalonae
Wielandia tanalorum
Wielandia unifex
Wiesneria filifolia
Wiesneria schweinfurthii
Wiesneria triandra
Wigandia brevistyla
Wigandia crispa
Wigandia ecuadorensis
Wigandia pruritiva
Wigandia urens
Wightia borneensis
Wightia speciosissima
Wikstroemia albiflora
Wikstroemia alternifolia
Wikstroemia androsaemifolia
Wikstroemia angustifolia
Wikstroemia anhuiensis
Wikstroemia australis
Wikstroemia baimashanensis
Wikstroemia bicornuta
Wikstroemia brachyantha
Wikstroemia canescens
Wikstroemia capitata
Wikstroemia capitatoracemosa
Wikstroemia chamaedaphne
Wikstroemia chui
Wikstroemia cochlearifolia
Wikstroemia coriacea
Wikstroemia delavayi
Wikstroemia dolichantha
Wikstroemia elliptica
Wikstroemia fargesii
Wikstroemia floribunda
Wikstroemia forbesii
Wikstroemia fuminensis
Wikstroemia furcata
Wikstroemia ganpi
Wikstroemia glabra
Wikstroemia gracilis
Wikstroemia guanxianensis
Wikstroemia hainanensis
Wikstroemia hanalei
Wikstroemia haoi
Wikstroemia huidongensis
Wikstroemia indica
Wikstroemia jiulongensis
Wikstroemia johnplewsii
Wikstroemia kudoi
Wikstroemia lamatsoensis
Wikstroemia lanceolata
Wikstroemia leptophylla
Wikstroemia liangii
Wikstroemia lichiangensis
Wikstroemia ligustrina
Wikstroemia linoides
Wikstroemia longifolia
Wikstroemia longipaniculata
Wikstroemia lungtzeensis
Wikstroemia meyeniana
Wikstroemia micrantha
Wikstroemia monnula
Wikstroemia mononectaria
Wikstroemia monticola
Wikstroemia nutans
Wikstroemia oahuensis
Wikstroemia ohsumiensis
Wikstroemia ovata
Wikstroemia pachyrachis
Wikstroemia pampaninii
Wikstroemia pauciflora
Wikstroemia paxiana
Wikstroemia phillyreifolia
Wikstroemia phymatoglossa
Wikstroemia pilosa
Wikstroemia poilanei
Wikstroemia polyantha
Wikstroemia pseudoretusa
Wikstroemia pulcherrima
Wikstroemia raiateensis
Wikstroemia reginaldi-farreri
Wikstroemia retusa
Wikstroemia ridleyi
Wikstroemia rotundifolia
Wikstroemia sandwicensis
Wikstroemia scytophylla
Wikstroemia sikokiana
Wikstroemia sinoparviflora
Wikstroemia skottsbergiana
Wikstroemia stenophylla
Wikstroemia subcyclolepidota
Wikstroemia subspicata
Wikstroemia taiwanensis
Wikstroemia techinensis
Wikstroemia tenuiramis
Wikstroemia trichotoma
Wikstroemia uva-ursi
Wikstroemia vaccinium
Wikstroemia venosa
Wikstroemia villosa
Wikstroemia yakushimensis
Wilbrandia ebracteata
Wilbrandia glaziovii
Wilbrandia hibiscoides
Wilbrandia longisepala
Wilbrandia verticillata
Wilczekra congolensis
Wilczekra gabonica
Wilhelmsia physodes
Wilkesia gymnoxiphium
Wilkesia hobdyi
Wilkiea angustifolia
Wilkiea austroqueenslandica
Wilkiea cordata
Wilkiea foremanii
Wilkiea huegeliana
Wilkiea hugeliana
Wilkiea hylandii
Wilkiea kaarruana
Wilkiea longipes
Wilkiea macrophylla
Wilkiea pubescens
Wilkiea rigidifolia
Wilkiea smithii
Wilkiea wardellii
Willdenowia affinis
Willdenowia arescens
Willdenowia bolusii
Willdenowia glomerata
Willdenowia humilis
Willdenowia incurvata
Willdenowia pilleata
Willdenowia purpurea
Willdenowia rugosa
Willdenowia stokoei
Willdenowia sulcata
Willdenowia teres
Willemetia stipitata
Willemetia tuberosa
Williamodendron cinnamomeum
Williamodendron glaucophyllum
Williamodendron itamarajuense
Williamodendron quadrilocellatum
Williamodendron spectabile
Willisia arekaliana
Willisia selaginoides
Willkommia annua
Willkommia newtonii
Willkommia sarmentosa
Willkommia texana
Willughbeia angustifolia
Willughbeia anomala
Willughbeia beccariana
Willughbeia cirrhifera
Willughbeia coriacea
Willughbeia edulis
Willughbeia flavescens
Willughbeia gigantea
Willughbeia grandiflora
Willughbeia javanica
Willughbeia lanceolata
Willughbeia lunduensis
Willughbeia oblonga
Willughbeia ovatifolia
Willughbeia sarawacensis
Willughbeia tenuiflora
Wilsonia backhousei
Wilsonia humilis
Wilsonia rotundifolia
Wimmeranthus inopinatus
Wimmerella arabidea
Wimmerella bifida
Wimmerella frontidentata
Wimmerella giftbergensis
Wimmerella hederacea
Wimmerella hedyotidea
Wimmerella longitubus
Wimmerella mariae
Wimmerella pygmaea
Wimmerella secunda
Wimmeria acuminata
Wimmeria bartlettii
Wimmeria chiapensis
Wimmeria concolor
Wimmeria confusa
Wimmeria cyclocarpa
Wimmeria excoriata
Wimmeria lanceolata
Wimmeria lundelliana
Wimmeria mexicana
Wimmeria microphylla
Wimmeria montana
Wimmeria obtusifolia
Wimmeria persicifolia
Wimmeria pubescens
Wimmeria serrulata
Wimmeria sternii
Windsorina guianensis
Winifredia sola
Winklerella dichotoma
Wissadula amplissima
Wissadula andina
Wissadula boliviana
Wissadula cardenasii
Wissadula caribaea
Wissadula contracta
Wissadula costaricensis
Wissadula cruziana
Wissadula cuspidata
Wissadula decora
Wissadula delicata
Wissadula densiflora
Wissadula diffusa
Wissadula divergens
Wissadula ecuadoriensis
Wissadula excelsior
Wissadula fadyenii
Wissadula glechomifolia
Wissadula glechomifolium
Wissadula grandifolia
Wissadula gymnanthemum
Wissadula hernandioides
Wissadula indivisa
Wissadula krapovickasiana
Wissadula macrantha
Wissadula microcarpa
Wissadula paraguariensis
Wissadula parviflora
Wissadula parvifolia
Wissadula pavonii
Wissadula peredoi
Wissadula periplocifolia
Wissadula rostrata
Wissadula setifera
Wissadula sordida
Wissadula stellata
Wissadula stipulata
Wissadula tucumanensis
Wissadula wissadifolia
Wisteria brachybotrys
Wisteria brachybotrys
Wisteria floribunda
Wisteria frutescens
Wisteria sinensis
Wisteria ventusa
Wisteriopsis championii
Wisteriopsis eurybotrya
Wisteriopsis japonica
Wisteriopsis kiangsiensis
Wisteriopsis reticulata
Withania adpressa
Withania aristata
Withania coagulans
Withania frutescens
Withania qaraitica
Withania reichenbachii
Withania riebeckii
Withania somnifera
Withania sphaerocarpa
Witheringia asterotricha
Witheringia bristaniana
Witheringia coccoloboides
Witheringia correana
Witheringia fuscoviolacea
Witheringia hunzikeri
Witheringia macrantha
Witheringia maculata
Witheringia meiantha
Witheringia mexicana
Witheringia mortonii
Witheringia solanacea
Witheringia stellata
Witheringia wurdackiana
Witsenia maura
Wittmackanthus stanleyanus
Wittmackia abbreviata
Wittmackia altocaririensis
Wittmackia amorimii
Wittmackia andersoniana
Wittmackia antillana
Wittmackia bicolor
Wittmackia brasiliensis
Wittmackia burle-marxii
Wittmackia canaliculata
Wittmackia carvalhoi
Wittmackia caymanensis
Wittmackia distans
Wittmackia eriostachya
